id,event_id,tag_id
1,6,4
2,11,7
3,16,10
4,21,13
5,26,16
6,31,19
7,36,22
8,41,25
9,46,28
10,51,31
11,56,34
12,61,37
13,66,40
14,71,43
15,76,46
16,81,49
17,86,52
18,91,55
19,96,58
20,1,61
21,6,64
22,11,67
23,16,70
24,21,73
25,26,76
26,31,79
27,36,82
28,41,85
29,46,88
30,51,91
31,56,94
32,61,97
33,66,100
34,71,3
35,76,6
36,81,9
37,86,12
38,91,15
39,96,18
40,1,21
41,6,24
42,11,27
43,16,30
44,21,33
45,26,36
46,31,39
47,36,42
48,41,45
49,46,48
50,51,51
51,56,54
52,61,57
53,66,60
54,71,63
55,76,66
56,81,69
57,86,72
58,91,75
59,96,78
60,1,81
61,6,84
62,11,87
63,16,90
64,21,93
65,26,96
66,31,99
67,36,2
68,41,5
69,46,8
70,51,11
71,56,14
72,61,17
73,66,20
74,71,23
75,76,26
76,81,29
77,86,32
78,91,35
79,96,38
80,1,41
81,6,44
82,11,47
83,16,50
84,21,53
85,26,56
86,31,59
87,36,62
88,41,65
89,46,68
90,51,71
91,56,74
92,61,77
93,66,80
94,71,83
95,76,86
96,81,89
97,86,92
98,91,95
99,96,98
100,1,1

